threads,256,512,1024
1,8.39,8.39,8.48
2,8.39,11.21,11.57
4,8.39,11.53,11.14
8,8.39,11.82,13.14
12,8.39,13.77,13.39
24,8.39,14.0,14.98
48,8.39,16.77,20.92
