threads,256,512,1024
1,8.39,8.39,8.39
2,8.39,11.39,11.89
4,8.38,10.87,11.18
8,8.39,12.27,11.86
12,8.39,13.68,13.26
24,8.39,14.89,14.28
48,8.39,16.77,22.43
